inputGenes	preferredNames
5693.XP_802204.1	XP_802204.1
5693.XP_802489.1	XP_802489.1
5693.XP_802663.1	XP_802663.1
5693.XP_802881.1	XP_802881.1
5693.XP_802969.1	XP_802969.1
5693.XP_803018.1	XP_803018.1
5693.XP_803970.1	XP_803970.1
5693.XP_804240.1	XP_804240.1
5693.XP_804247.1	XP_804247.1
5693.XP_804300.1	XP_804300.1
5693.XP_804406.1	XP_804406.1
5693.XP_804417.1	XP_804417.1
5693.XP_804485.1	XP_804485.1
5693.XP_804513.1	XP_804513.1
5693.XP_804632.1	XP_804632.1
5693.XP_804865.1	XP_804865.1
5693.XP_805185.1	XP_805185.1
5693.XP_805248.1	XP_805248.1
5693.XP_805485.1	XP_805485.1
5693.XP_805492.1	XP_805492.1
5693.XP_805624.1	XP_805624.1
5693.XP_805736.1	XP_805736.1
5693.XP_806185.1	XP_806185.1
5693.XP_806659.1	XP_806659.1
5693.XP_806759.1	XP_806759.1
5693.XP_808190.1	XP_808190.1
5693.XP_808478.1	XP_808478.1
5693.XP_808512.1	XP_808512.1
5693.XP_808829.1	XP_808829.1
5693.XP_809491.1	XP_809491.1
5693.XP_810575.1	XP_810575.1
5693.XP_812282.1	XP_812282.1
5693.XP_812594.1	XP_812594.1
5693.XP_812595.1	XP_812595.1
5693.XP_814040.1	XP_814040.1
5693.XP_814458.1	XP_814458.1
5693.XP_817613.1	XP_817613.1
5693.XP_820673.1	XP_820673.1
5693.XP_820675.1	XP_820675.1
5693.XP_821907.1	XP_821907.1
