"User_input","STRINGdb ID","Species"
"A9LN32","RPRC015440-PA","Rhodnius prolixus STRINGdb"
"D2KEZ9","RPRC002095-PA","Rhodnius prolixus STRINGdb"
"D2KF00","RPRC011668-PA","Rhodnius prolixus STRINGdb"
"D2KF01","RPRC000519-PA","Rhodnius prolixus STRINGdb"
"D6BJP6","RPRC013002-PA","Rhodnius prolixus STRINGdb"
"F1AYR6","RPRC000596-PA","Rhodnius prolixus STRINGdb"
"F2FB36","RPRC000022-PA","Rhodnius prolixus STRINGdb"
"G0Z066","RPRC001027-PA","Rhodnius prolixus STRINGdb"
"G1K0B6","RPRC006865-PA","Rhodnius prolixus STRINGdb"
"G1K0B7","RPRC009189-PA","Rhodnius prolixus STRINGdb"
"G1K0B8","RPRC006392-PA","Rhodnius prolixus STRINGdb"
"G1K0B9","RPRC014587-PA","Rhodnius prolixus STRINGdb"
"G1K0C3","RPRC009702-PA","Rhodnius prolixus STRINGdb"
"G1K0C9","RPRC001328-PA","Rhodnius prolixus STRINGdb"
"G1K0D1","RPRC002402-PA","Rhodnius prolixus STRINGdb"
"G1K0D3","RPRC009716-PA","Rhodnius prolixus STRINGdb"
"G1K0D5","RPRC010075-PA","Rhodnius prolixus STRINGdb"
"G1K0E2","RPRC002624-PA","Rhodnius prolixus STRINGdb"
"M1FRK7","RPRC004037-PA","Rhodnius prolixus STRINGdb"
"Q7YSZ1","RPRC005063-PA","Rhodnius prolixus STRINGdb"
"Q7YSZ2","RPRC007594-PA","Rhodnius prolixus STRINGdb"
"Q7YSZ4","RPRC010284-PA","Rhodnius prolixus STRINGdb"
"Q86MY2","RPRC004803-PA","Rhodnius prolixus STRINGdb"
"R4FJ77","RPRC015118-PA","Rhodnius prolixus STRINGdb"
"R4FJ83","RPRC015059-PA","Rhodnius prolixus STRINGdb"
"R4FJ99","RPRC012425-PA","Rhodnius prolixus STRINGdb"
"R4FJA9","RPRC007652-PA","Rhodnius prolixus STRINGdb"
"R4FJC8","RPRC009857-PA","Rhodnius prolixus STRINGdb"
"R4FJE0","RPRC006190-PA","Rhodnius prolixus STRINGdb"
"R4FJE5","RPRC005741-PA","Rhodnius prolixus STRINGdb"
"R4FJF3","RPRC002428-PA","Rhodnius prolixus STRINGdb"
